num1,num2,lift,joint_prob,both_count,expected_prob
18,26,0.8835365853658536,0.033816425120772944,21,0.03827393871502252
10,25,0.8826923076923078,0.027375201288244767,17,0.03101329993439494
8,37,0.8823111532086196,0.028985507246376812,18,0.03285179739706099
26,37,0.8823111532086196,0.028985507246376812,18,0.03285179739706099
15,18,0.8808510638297872,0.03864734299516908,24,0.04387500291722094
24,36,0.8800626538375477,0.030595813204508857,19,0.03476549433281212
9,10,0.88,0.03542673107890499,22,0.040257648953301126
5,13,0.8781108597285067,0.0322061191626409,20,0.036676598183284455
13,25,0.8781108597285067,0.0322061191626409,20,0.036676598183284455
1,14,0.8779017857142858,0.030595813204508857,19,0.034851066147012374
1,21,0.8779017857142858,0.030595813204508857,19,0.034851066147012374
14,19,0.8779017857142858,0.030595813204508857,19,0.034851066147012374
19,21,0.8779017857142858,0.030595813204508857,19,0.034851066147012374
18,27,0.8771186440677965,0.0322061191626409,20,0.036718087547745186
14,17,0.8764112903225806,0.033816425120772944,21,0.03858510894847799
18,34,0.8764112903225806,0.033816425120772944,21,0.03858510894847799
21,34,0.8764112903225806,0.033816425120772944,21,0.03858510894847799
35,36,0.8762346301148961,0.033816425120772944,21,0.03859288820431438
21,30,0.8757692307692307,0.03542673107890499,22,0.040452130349210795
4,8,0.8745918955252545,0.03542673107890499,22,0.0405065851400655
9,35,0.8743801652892562,0.037037037037037035,23,0.04235804802912553
5,26,0.8738273921200752,0.028985507246376812,18,0.033170746886352846
25,31,0.8738273921200752,0.028985507246376812,18,0.033170746886352846
2,14,0.8710396039603959,0.027375201288244767,17,0.031428193579002235
10,34,0.8709677419354838,0.0322061191626409,20,0.03697739607562474
1,35,0.87064639905549,0.030595813204508857,19,0.03514149169823748
23,36,0.8704793944491168,0.0322061191626409,20,0.036998140757855104
4,7,0.8702121980515146,0.033816425120772944,21,0.03885997598803032
27,29,0.869869729654013,0.0322061191626409,20,0.03702407161064306
25,37,0.869585511575803,0.024154589371980676,15,0.027777129506458074
11,35,0.869168221807518,0.033816425120772944,21,0.03890665152304864
32,35,0.869168221807518,0.033816425120772944,21,0.03890665152304864
13,35,0.8679508993680115,0.037037037037037035,23,0.0426718113478598
1,10,0.8678571428571429,0.028985507246376812,18,0.03339893839088686
4,17,0.8675387350774701,0.03542673107890499,22,0.040835906970472534
4,13,0.8628994905048633,0.03864734299516908,24,0.04478776893535698
7,22,0.8627396499027506,0.0322061191626409,20,0.03733005567354094
8,31,0.8619869125520523,0.033816425120772944,21,0.03923078718289808
5,25,0.8612241124260355,0.024154589371980676,15,0.028046810375452817
3,25,0.8607068607068608,0.02576489533011272,16,0.029934576458415987
