number,feature,corr,p_value,abs_corr,p_adj
34,pressure_diff,0.024531743386973656,0.5417372416591004,0.024531743386973656,0.9789849902354545
27,temp,-0.015204552659007785,0.7053162100462538,0.015204552659007785,0.9789849902354545
36,pressure_diff,-0.0063249751292684935,0.875007173849876,0.0063249751292684935,0.9789849902354545
36,humidity_diff,0.00638249574922296,0.8738799124469956,0.00638249574922296,0.9789849902354545
34,temp_diff,0.020975189660407567,0.6018769110555353,0.020975189660407567,0.9789849902354545
36,moon_age,-0.02190925524971167,0.5857939342382551,0.02190925524971167,0.9789849902354545
36,moon_sin,0.002131900352474566,0.9577162064177019,0.002131900352474566,0.9789849902354545
26,humidity_diff,0.0030071621763180408,0.9403839602540905,0.0030071621763180408,0.9789849902354545
37,temp,0.00514483304393001,0.8981876575766606,0.00514483304393001,0.9789849902354545
37,temp_diff,0.006300664557815035,0.8754836769333274,0.006300664557815035,0.9789849902354545
37,pressure,-0.005242542311758157,0.8962648688600147,0.005242542311758157,0.9789849902354545
26,pressure,0.02255534153869859,0.5747872123959624,0.02255534153869859,0.9789849902354545
37,humidity,0.02006208461908468,0.6177881681240112,0.02006208461908468,0.9789849902354545
37,humidity_diff,0.00959093165120911,0.8114710298305184,0.00959093165120911,0.9789849902354545
26,temp,-0.019113535034444937,0.6345085728622295,0.019113535034444937,0.9789849902354545
37,moon_age,0.01551625156526791,0.6995653984672289,0.01551625156526791,0.9789849902354545
26,moon_sin,-0.020775886386406543,0.6053341113814011,0.020775886386406543,0.9789849902354545
34,temp,-0.012799226714112707,0.750238034983939,0.012799226714112707,0.9789849902354545
27,moon_age,0.026099704716999364,0.5162081490810618,0.026099704716999364,0.9789849902354545
33,moon_age,-0.011022778535459233,0.783976166682329,0.011022778535459233,0.9789849902354545
30,pressure_diff,-0.013380896806096516,0.7392903078980624,0.013380896806096516,0.9789849902354545
29,moon_age,-0.011434794337656155,0.7761124454701455,0.011434794337656155,0.9789849902354545
30,humidity,-0.0067321667654956854,0.8670328037505918,0.0067321667654956854,0.9789849902354545
30,moon_cos,0.006375206287316183,0.8740227537287175,0.006375206287316183,0.9789849902354545
31,temp_diff,-0.007611820383538456,0.8498528675485103,0.007611820383538456,0.9789849902354545
29,pressure,0.012741437718393474,0.7513284798123319,0.012741437718393474,0.9789849902354545
31,pressure_diff,0.007346526201674001,0.8550270551677864,0.007346526201674001,0.9789849902354545
29,temp_diff,-0.012782974489727855,0.7505446548242405,0.012782974489727855,0.9789849902354545
31,humidity,0.002514458253696065,0.9501377210033756,0.002514458253696065,0.9789849902354545
28,moon_cos,0.0103549344107942,0.7967691599161362,0.0103549344107942,0.9789849902354545
31,humidity_diff,-0.004276452375739946,0.9153011544555458,0.004276452375739946,0.9789849902354545
28,moon_sin,0.022636878745863523,0.5734051097358808,0.022636878745863523,0.9789849902354545
31,moon_age,0.008251847770232135,0.8373969801614873,0.008251847770232135,0.9789849902354545
29,moon_sin,0.02060809942742589,0.6082514782834514,0.02060809942742589,0.9789849902354545
28,moon_age,-0.00232017433911582,0.9539859730350524,0.00232017433911582,0.9789849902354545
31,moon_cos,0.01974867674500558,0.6232914591925488,0.01974867674500558,0.9789849902354545
25,moon_cos,0.012462925762276113,0.7565907524991946,0.012462925762276113,0.9789849902354545
28,pressure,-0.003069591332755736,0.9391486941175698,0.003069591332755736,0.9789849902354545
32,temp,-0.016858271380429043,0.6750046812090237,0.016858271380429043,0.9789849902354545
32,pressure,-0.02044003413126722,0.611179933548471,0.02044003413126722,0.9789849902354545
32,pressure_diff,-0.019287922727537606,0.6314202523493097,0.019287922727537606,0.9789849902354545
32,humidity,0.0054814952683338025,0.8915651744047978,0.0054814952683338025,0.9789849902354545
32,moon_age,-0.005637201690163482,0.888504794435967,0.005637201690163482,0.9789849902354545
32,moon_sin,0.006021064915791827,0.8809672075580952,0.006021064915791827,0.9789849902354545
33,temp_diff,0.02286517906709753,0.569543672868261,0.02286517906709753,0.9789849902354545
33,pressure,-0.023480301269984388,0.5592016549259702,0.023480301269984388,0.9789849902354545
27,moon_sin,0.0030359806409068334,0.9398137203745542,0.0030359806409068334,0.9789849902354545
33,humidity,0.017683383630888127,0.6600716785544875,0.017683383630888127,0.9789849902354545
31,moon_sin,-0.0032951314185820507,0.9346872415120798,0.0032951314185820507,0.9789849902354545
25,moon_sin,0.0025426414987073653,0.9495795794454783,0.0025426414987073653,0.9789849902354545
1,temp,-0.012498098690391389,0.7559255593878971,0.012498098690391389,0.9789849902354545
25,humidity_diff,-0.007657805227543652,0.8489566473714916,0.007657805227543652,0.9789849902354545
7,moon_cos,-0.009814258587109794,0.8071663875866155,0.009814258587109794,0.9789849902354545
8,temp_diff,-0.016019609591072032,0.6903148102116278,0.016019609591072032,0.9789849902354545
8,moon_age,-0.005215215039301304,0.8968025725871756,0.005215215039301304,0.9789849902354545
8,moon_sin,0.004074206460010613,0.919292814539982,0.004074206460010613,0.9789849902354545
8,moon_cos,-0.012202479309787136,0.761521905246653,0.012202479309787136,0.9789849902354545
9,humidity_diff,-0.0029777646234720803,0.9409656901474568,0.0029777646234720803,0.9789849902354545
9,moon_cos,-0.005004110087364261,0.9009579438956,0.005004110087364261,0.9789849902354545
10,pressure_diff,-0.021195599673428586,0.5980639616176507,0.021195599673428586,0.9789849902354545
10,humidity_diff,0.00749316612902011,0.8521662673749406,0.00749316612902011,0.9789849902354545
10,moon_age,-0.018086398512379788,0.6528262060823262,0.018086398512379788,0.9789849902354545
7,moon_sin,-0.0032897032819651523,0.9347945930826594,0.0032897032819651523,0.9789849902354545
10,moon_sin,0.019231038830764338,0.6324269365521541,0.019231038830764338,0.9789849902354545
11,temp_diff,-0.009038631471598325,0.8221408391444426,0.009038631471598325,0.9789849902354545
11,pressure,-0.02055094509933087,0.6092466645037997,0.02055094509933087,0.9789849902354545
11,moon_cos,-0.027157511673221526,0.49934367289586473,0.027157511673221526,0.9789849902354545
12,temp,-0.006619269146313498,0.8692424546043789,0.006619269146313498,0.9789849902354545
12,temp_diff,0.008740152177616223,0.8279209420237117,0.008740152177616223,0.9789849902354545
12,pressure,-0.010838632072220088,0.7874979619410976,0.010838632072220088,0.9789849902354545
12,pressure_diff,0.011470642080468673,0.7754293251565677,0.011470642080468673,0.9789849902354545
